DATE;TIME;BLADE;DIRECTION_TO
20230816;1106AM;COMP;south_west
20230816;1110AM;COMP;east
20230816;1112AM;COMP;east
20230816;1114AM;COMP;west
20230816;1122AM;FAT;west
20230816;1124AM;FAT;east
20230816;1127AM;FAT;south_west
20230816;1130AM;FAT;north_east
20230816;1136AM;COMP;east
20230816;1139AM;COMP;west
20230816;1140AM;COMP;south_west
20230816;1143AM;COMP;north_east
20230816;1150AM;FAT;east
20230816;1153AM;FAT;west
20230816;1155AM;FAT;south_west
20230816;1200PM;FAT;north
20230816;1207PM;FAT;south
20230817;0816AM;COMP;north_east
20230817;0819AM;COMP;south_west
20230817;0821AM;COMP;north_east
20230817;0836AM;FAT;east
20230817;0839AM;FAT;west
20230817;0841AM;FAT;west
20230817;0845AM;FAT;east
20230817;0854AM;COMP;east
20230817;0857AM;COMP;west
20230817;0900AM;COMP;south_west
20230817;0903AM;COMP;north_east
20230817;0912AM;FAT;west
20230817;0914AM;FAT;south_west
20230817;0918AM;FAT;north_east
20230817;0924AM;FAT;east
